Date,Team,Opposition,Ground,10-Runs,10-Wkts,50-Runs,50-Wkts,Result,Above-300
4-May-14,Hong Kong,v U.A.E.,Kuala Lumpur,41,1,157,10,0,0
2-May-14,Afghanistan,v U.A.E.,Kuala Lumpur,55,0,302,5,1,1
1-May-14,Hong Kong,v Afghanistan,Kuala Lumpur,60,0,216,10,0,0
8-Mar-14,Pakistan,v Sri Lanka,Dhaka,28,3,260,5,0,0
6-Mar-14,Bangladesh,v Sri Lanka,Dhaka,39,0,204,9,0,0
5-Mar-14,England,v West Indies,North Sound,54,2,303,6,1,1
5-Mar-14,Afghanistan,v India,Dhaka,48,1,159,10,0,0
4-Mar-14,Bangladesh,v Pakistan,Dhaka,39,0,326,3,0,1
3-Mar-14,Sri Lanka,v Afghanistan,Dhaka,35,1,253,6,1,0
2-Mar-14,West Indies,v England,North Sound,37,3,159,10,0,0
2-Mar-14,India,v Pakistan,Dhaka,60,2,245,8,0,0
1-Mar-14,Afghanistan,v Bangladesh,Fatullah,33,1,254,6,1,0
28-Feb-14,West Indies,v England,North Sound,36,1,269,6,1,0
28-Feb-14,India,v Sri Lanka,Fatullah,37,1,264,9,0,0
27-Feb-14,Pakistan,v Afghanistan,Fatullah,39,0,248,8,1,0
26-Feb-14,Bangladesh,v India,Fatullah,36,1,279,7,0,0
25-Feb-14,Sri Lanka,v Pakistan,Fatullah,41,1,296,6,1,0
23-Feb-14,Ireland,v West Indies,Kingston,46,1,202,10,0,0
22-Feb-14,Bangladesh,v Sri Lanka,Dhaka,42,1,240,8,0,0
20-Feb-14,Sri Lanka,v Bangladesh,Dhaka,52,2,289,6,1,0
17-Feb-14,Sri Lanka,v Bangladesh,Dhaka,39,2,180,10,1,0
1-Feb-14,Scotland,v U.A.E.,Lincoln,53,3,285,5,1,0
31-Jan-14,New Zealand,v India,Wellington,31,1,303,5,1,1
30-Jan-14,Kenya,v Scotland,Christchurch,60,1,260,10,0,0
28-Jan-14,India,v New Zealand,Hamilton,28,2,278,5,0,0
28-Jan-14,Canada,v Netherlands,Mount Maunganui,45,0,210,10,0,0
26-Jan-14,Australia,v England,Adelaide,30,2,217,9,1,0
24-Jan-14,England,v Australia,Perth,73,0,316,8,1,1
23-Jan-14,Netherlands,v Kenya,Lincoln,40,1,265,6,0,0
23-Jan-14,Scotland,v Canada,Christchurch,66,1,341,9,1,1
22-Jan-14,New Zealand,v India,Hamilton,54,1,271,7,1,0
19-Jan-14,England,v Australia,Sydney,53,1,243,9,0,0
19-Jan-14,New Zealand,v India,Napier,38,2,292,7,1,0
17-Jan-14,England,v Australia,Brisbane,52,0,300,8,0,1
12-Jan-14,England,v Australia,Melbourne,28,2,269,7,0,0
8-Jan-14,West Indies,v New Zealand,Hamilton,83,0,363,4,1,1
4-Jan-14,New Zealand,v West Indies,Nelson,38,0,285,6,1,0
1-Jan-14,New Zealand,v West Indies,Queenstown,48,1,283,4,1,0
27-Dec-13,Pakistan,v Sri Lanka,Abu Dhabi,43,1,232,10,0,0
26-Dec-13,New Zealand,v West Indies,Auckland,20,3,156,10,0,0
25-Dec-13,Sri Lanka,v Pakistan,Abu Dhabi,50,3,225,10,0,0
22-Dec-13,Pakistan,v Sri Lanka,Sharjah,37,1,326,5,1,1
